age,education,marital-status,relationship,sex,income
39.0,Bachelors,Never-married,,Male,<=50K
50.0,Bachelors,,Husband,,
38.0,HS-grad,Divorced,,Male,<=50K
53.0,11th,Married-civ-spouse,Husband,Male,<=50K
28.0,Bachelors,,,Female,
37.0,Masters,,Wife,,
49.0,9th,Married-spouse-absent,Not-in-family,Female,<=50K
52.0,,Married-civ-spouse,,,
,Masters,Never-married,Not-in-family,Female,>50K
42.0,Bachelors,Married-civ-spouse,,Male,
37.0,Some-college,,,Male,
30.0,Bachelors,Married-civ-spouse,,Male,>50K
23.0,Bachelors,Never-married,Own-child,,
32.0,Assoc-acdm,,,Male,<=50K
40.0,,Married-civ-spouse,Husband,Male,
34.0,7th-8th,Married-civ-spouse,Husband,,
25.0,HS-grad,Never-married,Own-child,Male,
32.0,,,Unmarried,Male,<=50K
38.0,,Married-civ-spouse,Husband,Male,<=50K
43.0,Masters,Divorced,,,
40.0,Doctorate,Married-civ-spouse,Husband,,>50K
,,Separated,Unmarried,Female,<=50K
35.0,9th,Married-civ-spouse,Husband,Male,
43.0,,,Husband,Male,<=50K
59.0,HS-grad,,Unmarried,Female,
56.0,,,Husband,Male,
19.0,HS-grad,Never-married,Own-child,,<=50K
54.0,Some-college,Married-civ-spouse,,Male,
39.0,HS-grad,Divorced,Not-in-family,,<=50K
49.0,HS-grad,Married-civ-spouse,,,<=50K
23.0,,Never-married,,Male,
,Some-college,Never-married,Own-child,,
45.0,Bachelors,,Own-child,,<=50K
,Some-college,Married-civ-spouse,Own-child,Male,
,Some-college,Married-civ-spouse,,,<=50K
,11th,Never-married,Unmarried,Male,
21.0,Some-college,Never-married,Own-child,Male,<=50K
19.0,HS-grad,Married-AF-spouse,Wife,,<=50K
,,Married-civ-spouse,Husband,,>50K
,Assoc-acdm,,Husband,,<=50K
31.0,9th,,Husband,Male,<=50K
53.0,Bachelors,Married-civ-spouse,Husband,,
24.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
49.0,,Separated,Unmarried,,<=50K
25.0,HS-grad,Never-married,Not-in-family,Male,
57.0,Bachelors,Married-civ-spouse,Husband,,>50K
53.0,HS-grad,Married-civ-spouse,Husband,Male,
44.0,Masters,Divorced,Unmarried,Female,
41.0,,Married-civ-spouse,Husband,Male,
29.0,Assoc-voc,Never-married,Not-in-family,,<=50K
25.0,,Married-civ-spouse,,Female,
18.0,HS-grad,Never-married,,Female,
47.0,Prof-school,Married-civ-spouse,Wife,,>50K
50.0,Bachelors,Divorced,Not-in-family,Male,>50K
47.0,HS-grad,,,,
43.0,,Married-civ-spouse,Husband,,
46.0,5th-6th,Married-civ-spouse,Husband,Male,
35.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
,HS-grad,Married-civ-spouse,,Male,
30.0,HS-grad,,Husband,,<=50K
30.0,Bachelors,Married-civ-spouse,,Male,<=50K
32.0,7th-8th,Married-spouse-absent,Not-in-family,,<=50K
48.0,,Married-civ-spouse,Husband,Male,
42.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
29.0,Some-college,Divorced,Not-in-family,Male,
36.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
28.0,Some-college,Divorced,Not-in-family,Female,<=50K
53.0,HS-grad,Married-civ-spouse,Wife,,
,Some-college,,Husband,,
25.0,,Never-married,Own-child,Male,<=50K
19.0,Some-college,Never-married,Own-child,,
31.0,Bachelors,,Own-child,Female,<=50K
29.0,,Married-civ-spouse,,Male,
23.0,,Never-married,Not-in-family,Male,
79.0,Some-college,,Other-relative,Male,<=50K
27.0,HS-grad,Never-married,Own-child,,<=50K
40.0,,Married-civ-spouse,Husband,Male,<=50K
,,,Husband,Male,
18.0,11th,Never-married,Own-child,,<=50K
31.0,7th-8th,,Husband,Male,
18.0,,Never-married,Not-in-family,,<=50K
52.0,Bachelors,Married-civ-spouse,,Male,<=50K
46.0,HS-grad,,Wife,,
59.0,HS-grad,Married-civ-spouse,Husband,,
44.0,,Divorced,Not-in-family,Female,>50K
53.0,HS-grad,,Own-child,Female,<=50K
49.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
,,Married-civ-spouse,,Male,<=50K
30.0,9th,Never-married,Not-in-family,Male,
43.0,Doctorate,Never-married,,,
57.0,Assoc-voc,Married-civ-spouse,Husband,,<=50K
37.0,Some-college,Divorced,Unmarried,,<=50K
28.0,,Divorced,Unmarried,,<=50K
30.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
,Bachelors,Married-civ-spouse,,Male,>50K
29.0,,Never-married,Not-in-family,,
48.0,Doctorate,,,Male,>50K
37.0,Some-college,,Husband,,>50K
48.0,,,Unmarried,,<=50K
32.0,HS-grad,Never-married,Own-child,,<=50K
76.0,Masters,Married-civ-spouse,Husband,Male,
,,Married-civ-spouse,Husband,Male,>50K
47.0,Masters,Never-married,Not-in-family,,
,Some-college,Never-married,Own-child,,<=50K
29.0,HS-grad,Never-married,Not-in-family,,<=50K
32.0,HS-grad,Married-civ-spouse,Husband,,
17.0,10th,Never-married,,,
,11th,Never-married,,Male,<=50K
31.0,HS-grad,,Not-in-family,,<=50K
42.0,HS-grad,Married-civ-spouse,Husband,,
,Bachelors,,Other-relative,,
38.0,Prof-school,,Husband,,
,HS-grad,,Husband,Male,>50K
28.0,Some-college,Married-civ-spouse,Wife,,<=50K
36.0,HS-grad,Never-married,Own-child,Female,<=50K
53.0,,Married-civ-spouse,Husband,Male,
56.0,,Married-civ-spouse,,,<=50K
,,Married-civ-spouse,Husband,Male,
,Some-college,,,,
22.0,,Never-married,Not-in-family,Male,
21.0,Some-college,Never-married,Own-child,,<=50K
40.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
30.0,Bachelors,Never-married,Own-child,,<=50K
29.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
19.0,Some-college,Never-married,Own-child,Male,
47.0,Bachelors,,Wife,Female,>50K
20.0,Some-college,Never-married,,Female,<=50K
